State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
AL,1960,6239.0,0.0,0.0,0.0,5367.899999999907,318818.42136,0.0,0.0,93.78358,42508.2,51.03,-2.77,2.91,23.72
AL,1961,6747.0,0.0,0.0,0.0,6072.600000000093,316466.0604,0.0,0.0,92.13826,40199.8,69.83,16.53,2.85,22.96
AL,1962,7540.0,0.0,0.0,0.0,6777.3000000000475,315608.4288,0.0,0.0,210.60172999999998,43343.4,50.1,-9.24,2.85,22.69
AL,1963,6384.0,0.0,0.0,0.0,7343.0,302841.96984000003,0.0,0.0,291.2227,53215.0,48.81,-4.84,2.91,22.9
AL,1964,8760.0,0.0,0.0,0.0,8220.0,353711.7756,0.0,0.0,273.12412,49288.4,66.5,10.19,3.0,23.3
AL,1965,7103.0,0.0,0.0,0.0,8994.0,363439.76832,0.0,0.0,334.00118,46771.2,48.78,-7.82,3.01,23.0
AL,1966,6926.0,0.0,0.0,0.0,9847.0,348418.96344,0.0,0.0,414.62215,46574.0,55.82,2.07,3.1,23.01
AL,1967,9139.0,0.0,0.0,0.0,10053.0,379465.22736,0.0,0.0,408.04085,42618.4,55.8,6.41,3.12,22.53
AL,1968,7382.0,0.0,0.0,0.0,10977.0,402841.8144,0.0,0.0,378.42498,44283.0,45.22,-8.84,3.18,21.99
AL,1969,7515.0,0.0,0.0,0.0,11866.0,427737.63456,0.0,0.0,296.15868,44665.8,52.57,-1.4,3.32,21.81
AL,1970,7632.0,0.0,0.0,0.0,12475.0,503797.3056,0.0,0.0,1031.6194,42125.4,53.89,1.09,3.39,21.04
AL,1971,9936.0,0.0,0.0,0.0,13624.0,439719.9732,0.0,0.0,688.07483,45425.6,60.07,6.49,3.6,21.42
AL,1972,10233.0,0.0,0.0,0.0,15356.0,510021.26063999993,0.0,0.0,4195.05741,57617.2,55.96,1.66,3.6,20.74
AL,1973,11803.0,314.0,0.0,0.0,17428.0,453403.4016,0.0,0.0,11941.94833,67726.6,67.17,11.97,4.75,25.56
AL,1974,10369.0,6289.0,0.0,0.0,19454.0,463397.29968,0.0,0.0,29486.84295,77273.4,60.4,8.14,9.35,45.6
AL,1975,12213.0,2722.0,0.0,0.0,21346.0,534692.772,0.0,0.0,40035.4957,78166.6,74.77,22.3,12.21,54.61
AL,1976,9458.0,4214.0,0.0,0.0,24324.0,508453.46469,0.0,0.0,43743.61775,85294.8,55.98,4.9,13.1,55.46
AL,1977,10354.0,19522.0,0.0,0.0,26725.0,505587.89700000006,0.0,0.0,60495.76621,105861.6,57.87,0.15,14.4,57.2
AL,1978,7893.0,22830.0,0.0,0.0,30546.0,492161.72694,0.0,0.0,91430.99527,115008.2,49.5,-5.06,14.95,55.24
AL,1979,11867.0,22090.0,0.0,0.0,33712.0,579943.31664,0.0,0.0,96794.68236,111133.8,67.92,15.02,25.1,82.51
AL,1980,9408.0,23497.0,0.0,0.0,36142.0,633365.46117,0.0,0.0,75631.3348,128487.4,58.48,0.22,37.42,109.51
AL,1981,6038.0,23643.0,0.0,0.0,40257.0,592488.95728,0.0,0.0,90342.56753,119944.0,45.8,-9.76,35.75,94.83
AL,1982,10731.0,27701.0,0.0,0.0,41778.0,645392.32692,0.0,0.0,87324.64921,116081.2,61.13,5.39,31.83,79.5
AL,1983,11165.0,25145.0,0.0,0.0,45679.0,577138.5876,0.0,0.0,102198.96354,108726.8,70.36,14.68,29.08,70.34
AL,1984,10798.0,24211.0,0.0,0.0,50010.0,657109.1012800001,0.0,0.0,113715.13913,114863.2,50.52,-3.21,28.75,66.67
AL,1985,6886.0,14313.0,0.0,0.0,53824.0,676254.31104,0.0,0.0,120283.59475,125169.8,51.31,-1.04,26.92,60.27
AL,1986,5251.0,11561.0,0.0,0.0,56134.0,634516.4114,0.0,0.0,119010.49260999999,122507.6,47.77,-10.23,14.44,31.72
AL,1987,7472.0,11248.0,0.0,0.0,60752.0,627489.706,0.0,0.0,129278.90144000002,119520.6,48.13,-8.23,17.75,37.62
AL,1988,5383.0,12981.0,0.0,0.0,66008.0,649790.70768,0.0,0.0,141541.89839000002,120622.6,51.12,-3.33,14.87,30.33
AL,1989,13153.0,11524.0,0.0,0.0,68394.0,680322.32664,0.0,0.0,140746.57534,114915.4,65.19,13.13,18.33,35.6
AL,1990,10367.0,12052.0,0.0,0.0,71610.0,707761.5605,0.0,0.0,147736.62823,107520.4,56.87,-3.32,23.19,42.62
AL,1991,10758.0,15875.0,0.0,0.0,76043.0,662160.58326,0.0,0.0,184047.15507,108094.6,63.25,6.5,20.2,35.73
AL,1992,10260.0,19397.0,0.0,0.0,81260.0,623931.97936,0.0,0.0,374146.2047,110345.0,59.79,8.39,19.25,33.04
AL,1993,9034.0,17823.0,0.0,0.0,84563.0,600868.7078399999,0.0,0.0,408988.70066,108326.6,50.29,-5.16,16.75,27.94
AL,1994,11429.0,20480.0,0.0,0.0,90098.0,568576.60194,0.0,0.0,540146.5298100001,106401.0,60.33,7.83,15.66,25.44
AL,1995,9502.0,20752.0,0.0,0.0,95819.0,607149.8048,0.0,0.0,543449.8818699999,108639.8,59.57,2.95,16.75,26.48
AL,1996,11082.0,29708.0,0.0,0.0,100146.0,607031.28937,0.0,0.0,557089.59002,97834.4,58.33,3.71,20.46,31.4
AL,1997,11521.0,29573.0,0.0,0.0,104805.0,600683.2829999999,0.0,0.0,614458.90312,86025.6,62.96,10.49,18.64,27.98
AL,1998,10565.0,28663.0,0.0,0.0,109414.0,568307.87604,0.0,0.0,591345.08534,71908.4,59.26,-1.49,11.91,17.6
AL,1999,7760.0,30892.0,0.0,0.0,115015.0,477573.57872,0.0,0.0,593029.86876,64513.4,49.01,-7.11,16.56,23.89
AL,2000,5818.0,31369.0,0.0,0.0,119020.0,472698.857,0.0,0.0,582742.89466,60650.6,42.5,-17.06,27.39,38.29
AL,2001,8356.0,30357.0,0.0,0.0,122822.0,469961.62902,0.0,0.0,561077.55318,54137.2,59.03,6.2,23.0,31.3
AL,2002,8825.0,31857.0,0.0,0.0,127873.0,460200.77838,0.0,0.0,543370.10022,50070.02611,57.14,1.19,22.81,30.52
AL,2003,12665.0,31677.0,0.0,0.0,134388.0,486363.09128,0.0,0.0,520744.6073,45884.55407,63.72,12.14,27.69,36.26
AL,2004,10626.0,31636.0,0.0,0.0,146989.0,531179.44533,0.0,0.0,473658.30188999994,43283.50341000001,59.88,7.8,37.66,47.98
AL,2005,10145.0,31694.0,0.0,0.0,156750.0,518423.32962,0.0,0.0,424501.32211,45604.47782,57.08,3.99,50.04,61.65
AL,2006,7252.0,31911.0,0.0,0.0,164468.0,443032.27144,0.0,0.0,419773.80713000003,43679.80583000001,47.54,-9.99,58.3,69.64
AL,2007,4136.0,34325.0,0.0,0.0,169923.0,469035.572,0.0,0.0,402116.29956,41691.66935,37.87,-21.77,64.2,74.44
AL,2008,6136.0,38993.0,0.0,0.0,172646.0,506837.092,0.0,0.0,432133.0245600001,43996.46462,53.07,-1.09,91.48,102.0
AL,2009,12535.0,39716.0,0.0,0.0,168315.0,459528.87,0.0,0.0,451824.05023,42038.4,73.78,18.52,53.48,59.93
AL,2010,8704.0,37941.0,0.0,0.0,174710.0,478572.1208417503,0.0,0.0,469236.9297555382,38790.23597204976,47.2,-10.72,71.21,78.65
AL,2011,8884.0,39356.0,0.0,0.0,180665.0,492601.19791878853,0.0,0.0,486460.305016079,35492.99811214104,50.7,-8.42,87.04,93.21
AL,2012,7435.0,40841.0,0.0,0.0,185878.0,502914.5822038421,0.0,0.0,503508.0424429164,32148.69389130379,53.38,-3.32,86.46,90.72
AL,2013,12899.0,40816.0,0.0,0.0,190095.0,510474.7233353532,0.0,0.0,520391.3529616064,28761.08861841238,64.7,12.8,91.17,94.25
AL,2014,9467.0,41244.0,0.0,0.0,194421.0,515995.1232392803,0.0,0.0,537120.5132539078,25333.00627512252,56.03,1.06,85.6,87.05
AL,2015,10671.405150650633,37344.59695531619,0.0,0.0,176265.37085321173,520004.7958046518,0.0,0.0,553705.8000015803,21866.32951587136,61.36,1.96,41.85,42.53
AL,2016,7550.189178326755,35933.560759327396,0.0,0.0,180921.2923921272,522894.2036638456,0.0,0.0,570156.5556425867,18362.940995095934,46.05,-15.47,46.12346273712689,45.34334281602651
AL,2017,9087.860485209763,35124.02924986811,0.0,0.0,184530.6862277361,524954.5267305706,0.0,0.0,586482.1226148894,14824.723367233528,54.60967942410753,-2.4499071829428374,50.27031775246161,47.86557419563582
AL,2018,9560.554553395365,34547.75060352993,0.0,0.0,188188.1124368934,526399.8896741954,0.0,0.0,602690.909112656,11254.500613939717,54.92243055217095,0.253241230566573,53.63968414130846,49.564251832694644
AL,2019,9874.332539970064,34873.17225680911,0.0,0.0,191843.29071261734,527389.5893940774,0.0,0.0,618789.4548424599,7654.155389651712,56.27168673018612,1.2120533417413242,56.231561903667796,51.26292946975343
AL,2020,9564.668510316114,35514.05485292917,0.0,0.0,195498.6066169189,528042.1724199707,0.0,0.0,634786.1679984676,4025.570348806621,54.852654032807216,-0.9963637758580716,58.8234396660269,52.96160710681224
